erosion_rate,curvature,D
36.5,-0.02536,2.9
61.5,-0.0247,5
84.9,-0.03334,5.1
92.5,-0.03902,4.7
55,-0.03171,3.5
101,-0.06502,3.1
37,-0.0215,3.4
78,-0.03012,5.2
35,-0.01038,6.7
921.5,-0.07159,25.7
800.8,-0.12596,12.7
176.8,-0.04624,7.6
224.9,-0.04525,9.9
143.5,-0.04243,6.8
23.2,-0.01378,3.4
5.7,-0.00682,1.7
9.9,-0.0171,1.2
12.6,-0.01222,2.1
32.7,-0.02028,3.2
34.8,-0.02022,3.4
38.1,-0.01978,3.9
52.9,-0.02065,5.1
39.5,-0.01971,4
85.4,-0.02519,6.8
20.8,-0.0142,2.9
20.6,-0.01498,2.7
19.3,-0.01349,2.9
58.3,-0.01469,7.9
233.5,-0.04335,10.8
124.2,-0.03747,6.6
